token_type,token,posts_count,profiles_count,likes_sum,likes_avg,views_sum,views_avg
word,вас,69,5,23240,336.81,386300,9421.95
word,через,67,4,24498,365.64,1589262,58861.56
word,сайте,63,4,23764,377.21,1490426,53229.5
word,запишитесь,58,5,14375,247.84,447631,29842.07
word,консультацию,58,5,15075,259.91,716257,42132.76
word,мерси,57,1,18309,321.21,1218477,32931.81
word,онлайн,57,3,22910,401.93,1466901,61120.88
word,врачу,56,5,6591,117.7,231655,7239.22
word,при,55,5,10623,193.15,444417,14813.9
word,чтобы,55,5,11867,215.76,381408,17336.73
word,вам,53,5,6018,113.55,185871,7434.84
word,клинике,51,2,14988,293.88,653765,28424.57
word,когда,50,5,6073,121.46,389184,11119.54
word,врача,48,5,10687,222.65,486995,20291.46
word,без,46,5,10412,226.35,760264,21721.83
word,все,43,5,3886,90.37,105923,5296.15
word,только,43,5,8048,187.16,3513182,159690.09
word,kravira,40,1,3078,76.95,63973,2063.65
word,директ,40,4,9548,238.7,321665,24743.46
word,пациентов,38,5,5450,143.42,240282,15017.62
word,телефону,38,4,15183,399.55,1579338,58494.0
word,лечения,37,5,12075,326.35,496480,31030.0
word,после,37,4,5042,136.27,190193,9509.65
word,mercimed,36,1,15898,441.61,1413692,61464.87
word,жизни,36,5,4682,130.06,212858,10136.1
word,категории,34,4,8523,250.68,337781,112593.67
word,нашем,34,4,11818,347.59,24371,4061.83
word,время,33,5,4914,148.91,270294,12286.09
word,есть,33,5,7431,225.18,510221,23191.86
word,лечение,33,5,10155,307.73,994569,47360.43
word,приём,33,2,2694,81.64,130860,4512.41
word,вопросы,32,5,3413,106.66,102744,4892.57
word,день,32,5,5214,162.94,162590,8557.37
word,instagram,31,1,13974,450.77,1394571,66408.14
word,консультант,31,2,13372,431.35,1394571,66408.14
word,которая,31,5,4472,144.26,3731158,233197.38
word,мтс,31,1,13406,432.45,1394571,66408.14
word,будет,30,5,8214,273.8,69347,4334.19
word,заболеваний,30,5,9302,310.07,37098,4122.0
word,здоровья,30,5,5880,196.0,171366,9520.33
word,которые,30,5,3548,118.27,42139,2633.69
word,может,30,5,2930,97.67,128292,5831.45
word,боли,29,5,8495,292.93,758103,42116.83
word,лодэ,28,1,5338,190.64,324509,20281.81
word,помогает,28,4,5060,180.71,334598,30418.0
word,сообщения,28,1,9088,324.57,209678,52419.5
word,том,27,5,16603,614.93,32953,2746.08
word,быть,26,5,5900,226.92,127598,7505.76
word,запись,26,4,6808,261.85,222411,17108.54
word,прием,26,5,8125,312.5,626149,52179.08
word,центр,26,4,2400,92.31,44158,2943.87
word,врачом,25,4,5213,208.52,83462,5216.38
word,его,25,5,4691,187.64,170511,11367.4
word,который,25,5,4814,192.56,30901,3090.1
word,просто,25,5,2366,94.64,82525,5157.81
word,уже,25,5,7322,292.88,484574,44052.18
word,врачи,24,5,4696,195.67,141251,9416.73
word,откладывайте,24,5,2918,121.58,218073,19824.82
word,пациенты,24,5,3022,125.92,227174,75724.67
word,важно,23,5,2454,106.7,14561,1456.1
word,видео,23,5,2458,106.87,79764,4431.33
word,наших,22,5,3925,178.41,36217,3018.08
word,почему,22,5,2523,114.68,98440,7572.31
word,спасибо,22,5,3873,176.05,3457934,246995.29
word,так,22,5,2349,106.77,62984,4498.86
word,диагностика,21,5,4407,209.86,186152,12410.13
word,комментариях,21,4,3180,151.43,99510,5853.53
word,под,21,4,4044,192.57,44956,3211.14
word,помощью,21,5,2715,129.29,101264,7789.54
word,боль,20,5,4481,224.05,429800,35816.67
word,всего,20,4,1910,95.5,70579,4151.71
word,даже,20,5,13919,695.95,104917,10491.7
word,диагностики,20,4,3648,182.4,176967,14747.25
word,какие,20,5,2435,121.75,165194,10324.62
word,могут,20,5,2838,141.9,34710,3471.0
word,рассказала,20,4,2219,110.95,213960,13372.5
word,этот,20,5,1921,96.05,33612,2400.86
word,всегда,19,5,3581,188.47,45505,3250.36
word,детей,19,5,5261,276.89,7876,1125.14
word,забота,19,5,1549,81.53,39739,3612.64
word,задали,19,2,1586,83.47,93553,5197.39
word,кожи,19,5,3480,183.16,234948,26105.33
word,первой,19,4,3532,185.89,3892,1946.0
word,правильно,19,5,1115,58.68,24865,3552.14
word,процедура,19,5,3129,164.68,244823,27202.56
word,себе,19,5,2914,153.37,296220,19748.0
word,внимание,18,5,1396,77.56,35958,5993.0
word,каждый,18,5,5289,293.83,84828,7069.0
word,лайф,18,1,10828,601.56,1305828,108819.0
word,лет,18,5,2411,133.94,74112,8234.67
word,медицинского,18,5,2464,136.89,11573,1052.09
word,можете,18,4,3133,174.06,107714,15387.71
word,нашим,18,3,2068,114.89,125599,10466.58
word,нужно,18,5,2465,136.94,3578396,325308.73
word,процедуры,18,4,2675,148.61,3527379,320670.82
word,стоит,18,5,5445,302.5,522309,52230.9
word,быстро,17,3,5536,325.65,3994297,399429.7
word,визит,17,5,1447,85.12,27483,3053.67
word,получить,17,5,3349,197.0,221665,55416.25
word,пусть,17,5,4605,270.88,64580,5870.91
word,рекомендации,17,4,757,44.53,16406,4101.5
word,сегодня,17,5,3536,208.0,60243,4303.07
word,центра,17,5,6261,368.29,507812,46164.73
word,ваше,16,4,1755,109.69,89776,14962.67
word,вернуть,16,5,5006,312.88,563766,56376.6
word,вместе,16,5,3463,216.44,130006,10000.46
word,записывайтесь,16,4,3165,197.81,74424,8269.33
word,каскадвопросов,16,1,1266,79.12,89805,5612.81
word,коррекция,16,4,3539,221.19,82054,10256.75
word,операции,16,3,4250,265.62,57758,6417.56
word,пишите,16,3,1241,77.56,85916,6136.86
word,позволяет,16,5,5949,371.81,466819,77803.17
word,поэтому,16,3,1687,105.44,20487,2048.7
word,пройти,16,5,1994,124.62,10133,2026.6
word,себя,16,5,77071,4816.94,1839851,153320.92
word,центре,16,4,5135,320.94,440414,62916.29
word,заботой,15,4,1628,108.53,52202,7457.43
word,зрение,15,2,5433,362.2,509289,46299.0
word,зрения,15,2,3342,222.8,90646,9064.6
word,именно,15,5,1920,128.0,46138,5126.44
word,какой,15,4,1870,124.67,75458,6859.82
word,которой,15,3,520,34.67,1907,953.5
word,кто,15,5,16113,1074.2,47285,3940.42
word,медицинский,15,4,2761,184.07,16915,1537.73
word,нас,15,5,14235,949.0,3467797,433474.62
word,нашего,15,3,1992,132.8,68835,6883.5
word,нашими,15,3,1319,87.93,31386,6277.2
word,номеру,15,3,2621,174.73,101640,12705.0
word,области,15,4,2679,178.6,68595,13719.0
word,проводится,15,5,5123,341.53,58941,9823.5
word,самое,15,5,2868,191.2,3452909,383656.56
word,самых,15,4,3249,216.6,164236,20529.5
word,своим,15,4,863,57.53,4555,4555.0
word,симптомы,15,5,2733,182.2,147596,18449.5
word,врачей,14,5,5412,386.57,3454290,314026.36
word,гинекологу,14,3,1721,122.93,110629,8509.92
word,клиника,14,2,2146,153.29,133021,19003.0
word,консультации,14,4,5305,378.93,9894,1413.43
word,консультация,14,5,2913,208.07,34236,5706.0
word,нам,14,4,3111,222.21,10450,2090.0
word,обратиться,14,4,1924,137.43,7270,1454.0
word,опытом,14,3,561,40.07,7266,7266.0
word,проблемы,14,4,1682,120.14,156372,15637.2
word,работы,14,4,2603,185.93,16587,5529.0
word,результат,14,3,2390,170.71,110313,18385.5
word,специализируется,14,1,1955,139.64,0,0
word,специалистами,14,3,835,59.64,13368,3342.0
word,также,14,4,2613,186.64,32753,5458.83
word,удаление,14,3,2897,206.93,58548,9758.0
word,узнать,14,5,3528,252.0,40617,8123.4
word,услуги,14,5,4230,302.14,1512,1512.0
word,этом,14,5,4773,340.93,17804,3560.8
word,life,13,1,2578,198.31,88743,9860.33
word,возможность,13,4,3956,304.31,43770,7295.0
word,всех,13,4,1118,86.0,18403,2300.38
word,высшей,13,3,5109,393.0,328957,164478.5
word,действует,13,3,4138,318.31,168342,24048.86
word,дискомфорт,13,3,2776,213.54,79485,13247.5
word,дорогие,13,5,2286,175.85,77116,6426.33
word,знак,13,3,586,45.08,1554,777.0
word,лазерная,13,2,2683,206.38,80321,13386.83
word,лечении,13,3,1230,94.62,2591,863.67
word,максимально,13,5,2098,161.38,39228,7845.6
word,многие,13,5,1020,78.46,27582,3064.67
word,нами,13,4,2244,172.62,56496,5136.0
word,неврологу,13,4,2426,186.62,16912,2416.0
word,очень,13,4,1357,104.38,16192,2698.67
word,пациента,13,3,1733,133.31,6817,1704.25
word,поможет,13,3,1437,110.54,93316,11664.5
word,проходит,13,4,3072,236.31,11618,3872.67
word,процедуру,13,5,1459,112.23,3626494,402943.78
word,рады,13,2,4411,339.31,2360,1180.0
word,решение,13,4,1748,134.46,87128,10891.0
word,смотрите,13,5,1261,97.0,33894,3081.27
word,чем,13,5,1012,77.85,52924,5292.4
word,более,12,4,2705,225.42,109682,15668.86
word,было,12,4,1000,83.33,3464725,314975.0
word,гинеколог,12,4,2046,170.5,199831,18166.45
word,год,12,5,2787,232.25,34449,4306.12
word,делаем,12,2,320,26.67,2404,1202.0
word,делать,12,4,1098,91.5,23507,2938.38
word,железы,12,4,2405,200.42,29630,5926.0
word,изменения,12,5,1763,146.92,29082,3635.25
word,исследование,12,5,2653,221.08,7477,1495.4
word,качество,12,4,2620,218.33,139743,19963.29
word,коже,12,3,2081,173.42,130095,16261.88
word,лица,12,3,1575,131.25,136988,17123.5
word,массаж,12,3,2280,190.0,49828,12457.0
word,минск,12,2,5691,474.25,4120545,515068.12
word,мышц,12,3,4777,398.08,3305,661.0
word,один,12,4,3573,297.75,359706,44963.25
word,представляем,12,4,1008,84.0,5635,939.17
word,продолжаем,12,2,334,27.83,19733,9866.5
word,руб,12,4,2807,233.92,32785,8196.25
word,были,11,4,678,61.64,8769,1252.71
word,вашей,11,5,1657,150.64,102179,11353.22
word,где,11,5,1175,106.82,42541,4726.78
word,делятся,11,2,225,20.45,0,0
word,диагностику,11,5,2028,184.36,94267,23566.75
word,доктор,11,4,1022,92.91,11124,2781.0
word,единый,11,1,996,90.55,10291,3430.33
word,живота,11,3,5042,458.36,19084,9542.0
word,заболевания,11,3,536,48.73,8556,1069.5
word,истории,11,2,255,23.18,0,0
word,квалификационной,11,1,3497,317.91,33417,33417.0
word,медицинских,11,4,2058,187.09,23143,5785.75
word,обследование,11,5,1485,135.0,33368,4766.86
word,поделитесь,11,3,298,27.09,11672,3890.67
word,путь,11,4,914,83.09,3446795,574465.83
word,своем,11,5,3974,361.27,122306,20384.33
word,сохранить,11,4,1709,155.36,137049,15227.67
word,тела,11,5,2492,226.55,15535,3883.75
word,узи,11,4,1627,147.91,44308,6329.71
word,хирург,11,4,1291,117.36,48110,6872.86
word,близких,10,3,2008,200.8,20379,5094.75
word,взаимодействия,10,1,183,18.3,0,0
word,возраста,10,4,796,79.6,24926,4985.2
word,всем,10,5,3542,354.2,16239,3247.8
word,выявить,10,4,2999,299.9,101835,16972.5
word,давайте,10,4,1822,182.2,15673,2612.17
word,ему,10,1,1300,130.0,52792,8798.67
word,желчного,10,1,5307,530.7,918,918.0
word,заботу,10,3,1350,135.0,229693,28711.62
word,знакомьтесь,10,3,1962,196.2,497,497.0
word,кожу,10,3,845,84.5,77483,9685.38
word,конца,10,4,3185,318.5,11431,1905.17
word,коррекции,10,3,2783,278.3,76687,10955.29
word,которое,10,3,2292,229.2,174168,24881.14
word,листайте,10,3,14220,1422.0,0,0
word,месяцев,10,4,3403,340.3,68758,17189.5
word,метод,10,3,2965,296.5,68844,22948.0
word,минут,10,4,1990,199.0,55543,9257.17
word,нибудь,10,2,414,41.4,1594,1594.0
word,новом,10,4,1770,177.0,86009,10751.12
word,нордин,10,1,571,57.1,16819,1681.9
word,нордина,10,1,569,56.9,4630,661.43
word,осложнений,10,2,2149,214.9,2813,1406.5
word,отзывы,10,1,183,18.3,0,0
word,пациентам,10,3,1200,120.0,67565,13513.0
word,первые,10,3,2008,200.8,70851,14170.2
word,перед,10,5,1190,119.0,14229,2371.5
word,поговорили,10,2,1118,111.8,62570,6952.22
word,проводит,10,2,1556,155.6,33417,33417.0
word,программу,10,3,1726,172.6,190713,23839.12
word,пузыря,10,1,5307,530.7,918,918.0
word,работает,10,4,1216,121.6,8513,2128.25
word,ранней,10,4,1496,149.6,21956,5489.0
word,ребенка,10,3,1666,166.6,11553,2888.25
word,рубрику,10,1,183,18.3,0,0
word,свое,10,5,734,73.4,9498,1899.6
word,специалист,10,2,810,81.0,3958,989.5
word,становится,10,4,971,97.1,65632,9376.0
word,хирургом,10,2,2898,289.8,5368,1073.6
word,этого,10,4,1192,119.2,3298,1099.33
word,болезни,9,5,1149,127.67,20312,3385.33
word,восстановления,9,5,1606,178.44,79563,13260.5
word,всё,9,3,15898,1766.44,3870629,645104.83
word,главное,9,4,1209,134.33,14179,2363.17
word,года,9,4,3795,421.67,47555,15851.67
word,детский,9,2,442,49.11,12506,1563.25
word,дня,9,4,1052,116.89,8258,1651.6
word,жизнь,9,5,1965,218.33,141261,20180.14
word,заботы,9,5,1224,136.0,32583,8145.75
word,записи,9,5,1907,211.89,20274,4054.8
word,зубов,9,5,871,96.78,5048,1262.0
word,избавиться,9,4,2782,309.11,238071,39678.5
word,история,9,2,493,54.78,3518,586.33
word,карусель,9,2,13654,1517.11,0,0
word,клинику,9,3,1050,116.67,24165,4027.5
word,команда,9,5,1926,214.0,122720,15340.0
word,маленьких,9,5,1725,191.67,2829,1414.5
word,место,9,4,1320,146.67,1496,748.0
word,осмотр,9,5,706,78.44,8222,2055.5
word,особенно,9,5,1316,146.22,51533,8588.83
word,плюс,9,2,1287,143.0,15909,3977.25
word,подарок,9,4,1276,141.78,16929,3385.8
word,помогают,9,4,4380,486.67,460277,92055.4
word,помочь,9,5,1232,136.89,20914,2987.71
word,признавайтесь,9,1,424,47.11,19204,2133.78
word,проблема,9,3,533,59.22,5267,1053.4
word,профиля,9,2,1529,169.89,62547,10424.5
word,рак,9,3,2424,269.33,45015,7502.5
word,рассказал,9,2,609,67.67,43845,6263.57
word,реабилитации,9,4,1207,134.11,65312,10885.33
word,результаты,9,4,2750,305.56,5546,2773.0
word,скидка,9,1,3814,423.78,47714,23857.0
word,способ,9,4,1308,145.33,57826,7228.25
word,стоимость,9,4,2025,225.0,3463004,1154334.67
word,такие,9,4,1143,127.0,13517,4505.67
word,ткани,9,4,1504,167.11,11793,2948.25
word,увидеть,9,4,1648,183.11,31119,10373.0
word,хирургу,9,1,2157,239.67,3784,1261.33
word,числе,9,4,2212,245.78,6033,1508.25
word,шапке,9,2,1529,169.89,62547,10424.5
word,вашего,8,3,814,101.75,14861,3715.25
word,ваших,8,3,1476,184.5,3910,1955.0
word,вехи,8,1,497,62.12,3846,641.0
word,внимания,8,5,2374,296.75,16396,3279.2
word,вопрос,8,3,694,86.75,22143,3163.29
word,вопросам,8,3,4583,572.88,2430,1215.0
word,врачам,8,3,4231,528.88,496367,99273.4
word,выбор,8,3,1260,157.5,5636,1409.0
word,гинеколога,8,4,1620,202.5,124901,20816.83
word,гордимся,8,4,1483,185.38,31914,5319.0
word,делает,8,3,570,71.25,49815,12453.75
word,еще,8,5,976,122.0,3446677,1148892.33
word,желез,8,3,1690,211.25,7396,3698.0
word,здоровью,8,4,522,65.25,21252,3036.0
word,исследования,8,4,1727,215.88,7826,1956.5
word,каждой,8,4,1844,230.5,34476,4925.14
word,клиникамерси,8,1,810,101.25,18502,3083.67
word,короткому,8,2,1987,248.38,83229,16645.8
word,медцентр,8,2,1208,151.0,42334,8466.8
word,месте,8,3,1066,133.25,16411,2344.43
word,минске,8,3,504,63.0,8784,2196.0
word,молочной,8,4,2212,276.5,29630,5926.0
word,молочных,8,3,1786,223.25,17605,5868.33
word,невролог,8,4,1749,218.62,37454,7490.8
word,новая,8,3,2221,277.62,34737,17368.5
word,новообразований,8,3,989,123.62,36729,18364.5
word,новый,8,4,1404,175.5,6316,1052.67
word,онколог,8,4,872,109.0,20261,2894.43
word,операция,8,2,4951,618.88,454565,151521.67
word,отвечала,8,1,649,81.12,9959,1659.83
word,отзываются,8,1,981,122.62,0,0
word,педиатра,8,4,932,116.5,15627,5209.0
word,помогут,8,5,554,69.25,59670,9945.0
word,посещали,8,1,127,15.88,0,0
word,потом,8,4,523,65.38,3489251,581541.83
word,праздником,8,4,1113,139.12,10947,1563.86
word,превыше,8,1,834,104.25,15942,2277.43
word,представить,8,1,765,95.62,0,0
word,про,8,4,531,66.38,14377,2875.4
word,проблему,8,4,705,88.12,9623,2405.75
word,программа,8,4,1535,191.88,58309,14577.25
word,работе,8,4,1963,245.38,70101,14020.2
word,раз,8,4,1228,153.5,9353,3117.67
word,развития,8,3,1531,191.38,34902,6980.4
word,сад,8,1,385,48.12,9751,1950.2
word,своих,8,4,1021,127.62,16883,3376.6
word,сертификат,8,4,1773,221.62,13008,4336.0
word,скидкой,8,2,5613,701.62,155798,77899.0
word,состоянии,8,3,477,59.62,21592,4318.4
word,специалистов,8,4,1194,149.25,34209,5701.5
word,стадии,8,5,1410,176.25,3737,1245.67
word,тем,8,5,1297,162.12,77101,11014.43
word,терапевта,8,4,1798,224.75,14002,7001.0
word,терапии,8,3,1017,127.12,38683,9670.75
word,технологии,8,3,881,110.12,3490544,698108.8
word,улучшить,8,2,601,75.12,85749,42874.5
word,условия,8,4,1385,173.12,10775,3591.67
word,хотели,8,2,726,90.75,17544,2924.0
word,школу,8,1,385,48.12,9751,1950.2
word,этой,8,4,545,68.12,18565,4641.25
word,lode,7,1,1305,186.43,59738,14934.5
word,ultraformer,7,2,979,139.86,50573,10114.6
word,александр,7,2,1421,203.0,25939,12969.5
word,александровна,7,5,833,119.0,6584,1646.0
word,вайб,7,1,932,133.14,15909,3977.25
word,вами,7,4,1255,179.29,50201,12550.25
word,ведь,7,5,974,139.14,3447750,861937.5
word,вовремя,7,3,831,118.71,16808,4202.0
word,глаз,7,3,662,94.57,19462,2780.29
word,году,7,4,1571,224.43,9864,2466.0
word,готовы,7,4,564,80.57,46162,9232.4
word,груди,7,4,887,126.71,34362,5727.0
word,грыж,7,1,4458,636.86,918,918.0
word,диастаза,7,1,4475,639.29,2512,1256.0
word,других,7,3,1343,191.86,13878,3469.5
word,друзья,7,3,519,74.14,7189,1797.25
word,желаем,7,3,1257,179.57,44525,8905.0
word,игнорировать,7,4,1150,164.29,112277,22455.4
word,каждом,7,4,828,118.29,7884,2628.0
word,карусели,7,3,1923,274.71,0,0
word,кому,7,4,850,121.43,4011,1337.0
word,которых,7,3,576,82.29,31338,6267.6
word,лифтинг,7,3,1244,177.71,85212,21303.0
word,лучше,7,4,379,54.14,5942,1188.4
word,медицинском,7,2,1024,146.29,12623,3155.75
word,медцентре,7,2,2589,369.86,26568,13284.0
word,методами,7,2,1991,284.43,3440280,1720140.0
word,методы,7,3,1363,194.71,105441,105441.0
word,мир,7,3,1151,164.43,83512,11930.29
word,наличии,7,3,1363,194.71,7239,2413.0
word,напоминаем,7,2,570,81.43,14152,2358.67
word,направления,7,3,1297,185.29,2405,801.67
word,нашей,7,3,1215,173.57,9411,3137.0
word,новым,7,4,1730,247.14,54900,9150.0
word,обязательно,7,5,12552,1793.14,25188,5037.6
word,одной,7,4,1136,162.29,21859,5464.75
word,оперативного,7,1,5192,741.71,918,918.0
word,операций,7,4,1265,180.71,6798,1359.6
word,педиатр,7,2,424,60.57,5105,1276.25
word,первый,7,4,846,120.86,61850,10308.33
word,период,7,5,1142,163.14,1512,1512.0
word,подарите,7,4,1122,160.29,80700,16140.0
word,постоянно,7,3,505,72.14,11668,5834.0
word,правда,7,2,626,89.43,63268,9038.29
word,программы,7,5,1318,188.29,14750,7375.0
word,рублей,7,3,1268,181.14,12444,6222.0
word,рядом,7,3,3491,498.71,71105,17776.25
word,самые,7,5,938,134.0,28562,4760.33
word,самый,7,4,1035,147.86,41346,5906.57
word,своего,7,3,457,65.29,15061,3765.25
word,своей,7,4,1058,151.14,56877,8125.29
word,сделать,7,4,911,130.14,51843,10368.6
word,сердце,7,3,795,113.57,6986,1397.2
word,снижение,7,3,1342,191.71,71030,23676.67
word,спине,7,4,2458,351.14,255664,51132.8
word,таких,7,1,1155,165.0,3648,1216.0
word,течение,7,4,1408,201.14,69361,23120.33
word,точно,7,3,12917,1845.29,71843,14368.6
word,травм,7,2,554,79.14,4612,1153.0
word,уровень,7,4,628,89.71,1967,983.5
word,услуг,7,5,1772,253.14,21626,5406.5
word,флебологу,7,2,556,79.43,9496,1899.2
word,хирурга,7,2,399,57.0,1134,567.0
word,хирургов,7,2,4551,650.14,918,918.0
word,хотите,7,4,429,61.29,49423,24711.5
word,чекап,7,2,281,40.14,5717,1143.4
word,эффект,7,2,2569,367.0,56433,18811.0
word,byn,6,1,1792,298.67,42275,10568.75
word,акция,6,2,2094,349.0,5781,2890.5
word,беспокоит,6,3,752,125.33,77553,19388.25
word,благодарим,6,4,1498,249.67,14386,2877.2
word,была,6,5,1010,168.33,16443,5481.0
word,владимировна,6,3,696,116.0,116448,23289.6
word,возможно,6,4,3914,652.33,490085,81680.83
word,возрасте,6,2,1267,211.17,104190,26047.5
word,времени,6,3,1209,201.5,32975,8243.75
word,второй,6,2,893,148.83,35756,35756.0
word,глаза,6,3,3939,656.5,439012,87802.4
word,годом,6,4,1167,194.5,54900,9150.0
word,детям,6,4,2371,395.17,1878,1878.0
word,диагноз,6,3,1439,239.83,2029,676.33
word,доверие,6,3,1653,275.5,9878,4939.0
word,ещё,6,3,1160,193.33,3503344,1167781.33
word,ждите,6,2,363,60.5,5497,2748.5
word,желание,6,3,603,100.5,2929,1464.5
word,женщины,6,4,1031,171.83,24408,4881.6
word,занимает,6,2,1518,253.0,35210,11736.67
word,здоровым,6,3,778,129.67,17141,4285.25
word,индивидуальный,6,3,2143,357.17,227781,75927.0
word,иногда,6,5,1121,186.83,42699,14233.0
word,исключительно,6,2,389,64.83,9996,1666.0
word,каждого,6,4,1729,288.17,7206,2402.0
word,каждому,6,4,1363,227.17,507,507.0
word,каких,6,4,916,152.67,3108,1554.0
word,кишечника,6,3,321,53.5,3440838,1720419.0
word,кожа,6,2,1058,176.33,77997,19499.25
word,комплекс,6,3,1715,285.83,157176,52392.0
word,комфорт,6,3,1440,240.0,55433,27716.5
word,комфортно,6,4,1146,191.0,17016,4254.0
word,коррекцию,6,2,1351,225.17,74015,18503.75
word,которого,6,3,534,89.0,82304,27434.67
word,красоты,6,3,828,138.0,44812,11203.0
word,крови,6,5,959,159.83,2049,1024.5
word,лазерной,6,1,1794,299.0,72381,18095.25
word,лазерную,6,2,1351,225.17,74015,18503.75
word,лечебный,6,1,1233,205.5,461,461.0
word,любом,6,3,639,106.5,52019,10403.8
word,медицинские,6,4,1401,233.5,1512,1512.0
word,мире,6,3,2467,411.17,36986,12328.67
word,морщины,6,3,867,144.5,100553,20110.6
word,мочи,6,3,1100,183.33,31472,15736.0
word,найти,6,3,1610,268.33,18422,6140.67
word,нарушений,6,3,2413,402.17,2280,1140.0
word,нарушения,6,3,1530,255.0,3428,1142.67
word,ней,6,3,3277,546.17,426660,142220.0
word,нельзя,6,3,1330,221.67,129292,25858.4
word,новоезрение,6,1,535,89.17,13277,2655.4
